sampleID;description;location;season;type;ts.hour;depth ;ch4.nmol.L;ch4.nmol.mL;kvalue;mox;ctd ;date;utc.time;lat;lon;dens;temp;sal;ox
NIOZ153.063.064;NS_Neg.Con.;lab;lab;control;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NIOZ153.017.018;NS_Neg.Con.;lab;lab;control;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NIOZ153.001.002;NS_Ref_A;north sea;summer;reference;NA;-35;2.471954414;NA;0.005825498;0.014400366;Ref;27/06/2018;07:17:33;55.609526;3.956799;NA;NA;NA;NA
NIOZ153.003.004;NS_Ref_D;north sea;summer;reference;NA;-10;1.583762709;NA;0.004549243;0.007204921;Ref;27/06/2018;07:17:33;55.609526;3.956799;NA;NA;NA;NA
NIOZ153.005.006;NS_127_A;north sea;summer;watercolumn;2.208888889;-35;491.4452957;NA;0.003285924;1.614851741;2;29/06/2018;15:30:00;55.306;4.089;27.2123;7.2488;34.7816;234.375
NIOZ153.007.008;NS_127_D;north sea;summer;watercolumn;2.208888889;-10;81.91164927;NA;0.00539958;0.44228847;2;29/06/2018;15:30:00;55.306;4.089;26.0176;14.1623;34.8245;247.719
NIOZ153.009.010;NS_130_A;north sea;summer;watercolumn;5.901944444;-35;90.23706908;NA;0.002116459;0.190983067;4;29/06/2018;19:30:00;55.306;4.089;27.2113;7.2964;34.7889;234.923
NIOZ153.011.012;NS_130_D;north sea;summer;watercolumn;5.901944444;-10;20.69011185;NA;0.041483729;0.858302989;4;29/06/2018;19:30:00;55.306;4.089;26.2451;13.1242;34.8411;252.222
NIOZ153.013.014;NS_133_A;north sea;summer;watercolumn;9.963888889;-35;1698.247274;NA;0.001250105;2.122987117;6;29/06/2018;23:30:00;55.306;4.089;27.2033;7.3435;34.7872;234.005
NIOZ153.015.016;NS_133_D;north sea;summer;watercolumn;9.963888889;-10;21.7790119;NA;0.002549056;0.05551592;6;29/06/2018;23:30:00;55.306;4.089;26.0433;14.0514;34.8273;252.388
NIOZ153.019.020;NS_136_A;north sea;summer;watercolumn;13.92833333;-35;110.6403055;NA;0.001225037;0.135538434;8;30/06/2018;03:30:00;55.306;4.089;27.2213;7.2517;34.7935;234.372
NIOZ153.021.022;NS_136_D;north sea;summer;watercolumn;13.92833333;-10;19.55413498;NA;0.004348889;0.085038767;8;30/06/2018;03:30:00;55.306;4.089;26.036;14.0852;34.8273;245.332
NIOZ153.023.024;NS_139_A;north sea;summer;watercolumn;17.85972222;-35;23.65291881;NA;0.000403112;0.009534771;10;30/06/2018;07:30:00;55.306;4.089;27.2214;7.2605;34.7953;234.659
NIOZ153.025.026;NS_139_D;north sea;summer;watercolumn;17.85972222;-10;9.136969856;NA;0.025920062;0.236830825;10;30/06/2018;07:30:00;55.306;4.089;26.1059;13.7822;34.8356;249.909
NIOZ153.027.028;NS_143_A;north sea;summer;watercolumn;21.9475;-35;2082.617297;NA;0.001102106;2.295265759;12;30/06/2018;11:30:00;55.306;4.089;NA;NA;NA;NA
NIOZ153.029.030;NS_143_D;north sea;summer;watercolumn;21.9475;-10;35.66751701;NA;0.031990481;1.71153155;12;30/06/2018;11:30:00;55.306;4.089;26.0327;14.1156;34.8313;247.485
NIOZ153.031.032;NS_146_A;north sea;summer;watercolumn;25.96055556;-35;105.3374401;NA;0.003371549;0.355150344;14;30/06/2018;15:30:00;55.306;4.089;27.2226;7.2232;34.79;235.153
NIOZ153.033.034;NS_146_D;north sea;summer;watercolumn;25.96055556;-10;55.82135073;NA;0.003072955;0.171536506;14;30/06/2018;15:30:00;55.306;4.089;26.0231;14.1611;34.8314;250.071
NIOZ153.035.036;NS_149_A;north sea;summer;watercolumn;29.90444444;-35;22.58599019;NA;0.001009405;0.022798423;16;30/06/2018;19:30:00;55.306;4.089;27.2173;7.2161;34.782;234.291
NIOZ153.037.038;NS_149_D;north sea;summer;watercolumn;29.90444444;-10;7.704019225;NA;0.005759542;0.044371622;16;30/06/2018;19:30:00;55.306;4.089;26.0121;14.2182;34.8328;248.166
