Sea;Season;Date;Time;Winddirection;Windspeed.avgph
North Sea;Summer;28/06/2018;23:00:00;360;60
North Sea;Summer;29/06/2018;00:00:00;350;60
North Sea;Summer;29/06/2018;01:00:00;360;60
North Sea;Summer;29/06/2018;02:00:00;20;70
North Sea;Summer;29/06/2018;03:00:00;20;70
North Sea;Summer;29/06/2018;04:00:00;20;70
North Sea;Summer;29/06/2018;05:00:00;10;60
North Sea;Summer;29/06/2018;06:00:00;360;70
North Sea;Summer;29/06/2018;07:00:00;360;80
North Sea;Summer;29/06/2018;08:00:00;360;80
North Sea;Summer;29/06/2018;09:00:00;360;90
North Sea;Summer;29/06/2018;10:00:00;360;90
North Sea;Summer;29/06/2018;11:00:00;360;90
North Sea;Summer;29/06/2018;12:00:00;10;70
North Sea;Summer;29/06/2018;13:00:00;20;70
North Sea;Summer;29/06/2018;14:00:00;20;80
North Sea;Summer;29/06/2018;15:00:00;40;80
North Sea;Summer;29/06/2018;16:00:00;40;80
North Sea;Summer;29/06/2018;17:00:00;30;70
North Sea;Summer;29/06/2018;18:00:00;40;70
North Sea;Summer;29/06/2018;19:00:00;50;70
North Sea;Summer;29/06/2018;20:00:00;50;70
North Sea;Summer;29/06/2018;21:00:00;50;70
North Sea;Summer;29/06/2018;22:00:00;50;70
North Sea;Summer;29/06/2018;23:00:00;50;60
North Sea;Summer;30/06/2018;00:00:00;40;60
North Sea;Summer;30/06/2018;01:00:00;50;50
North Sea;Summer;30/06/2018;02:00:00;60;60
North Sea;Summer;30/06/2018;03:00:00;60;60
North Sea;Summer;30/06/2018;04:00:00;60;60
North Sea;Summer;30/06/2018;05:00:00;70;60
North Sea;Summer;30/06/2018;06:00:00;70;60
North Sea;Summer;30/06/2018;07:00:00;80;70
North Sea;Summer;30/06/2018;08:00:00;80;70
North Sea;Summer;30/06/2018;09:00:00;90;60
North Sea;Summer;30/06/2018;10:00:00;90;50
North Sea;Summer;30/06/2018;11:00:00;90;60
North Sea;Summer;30/06/2018;12:00:00;90;70
North Sea;Summer;30/06/2018;13:00:00;90;60
North Sea;Summer;30/06/2018;14:00:00;80;60
North Sea;Summer;30/06/2018;15:00:00;80;70
North Sea;Summer;30/06/2018;16:00:00;80;80
North Sea;Summer;30/06/2018;17:00:00;80;80
North Sea;Summer;30/06/2018;18:00:00;90;70
North Sea;Summer;30/06/2018;19:00:00;90;70
North Sea;Summer;30/06/2018;20:00:00;80;70
North Sea;Summer;30/06/2018;21:00:00;90;80
North Sea;Summer;30/06/2018;22:00:00;90;80
North Sea;Summer;30/06/2018;23:00:00;90;90
North Sea;Summer;01/07/2018;00:00:00;90;100
North Sea;Summer;01/07/2018;01:00:00;100;100
North Sea;Summer;01/07/2018;02:00:00;100;90
North Sea;Summer;01/07/2018;03:00:00;100;80
North Sea;Summer;01/07/2018;04:00:00;100;80
North Sea;Summer;01/07/2018;05:00:00;110;80
North Sea;Summer;01/07/2018;06:00:00;100;60
North Sea;Summer;01/07/2018;07:00:00;120;60
North Sea;Summer;01/07/2018;08:00:00;120;60
North Sea;Summer;01/07/2018;09:00:00;100;60
North Sea;Summer;01/07/2018;10:00:00;100;70
North Sea;Summer;01/07/2018;11:00:00;130;70
North Sea;Summer;01/07/2018;12:00:00;100;60
North Sea;Summer;01/07/2018;13:00:00;100;60
North Sea;Summer;01/07/2018;14:00:00;100;70
North Sea;Summer;01/07/2018;15:00:00;100;70
North Sea;Summer;01/07/2018;16:00:00;100;60
North Sea;Summer;01/07/2018;17:00:00;100;50
North Sea;Summer;01/07/2018;18:00:00;100;50
North Sea;Summer;01/07/2018;19:00:00;100;50
North Sea;Summer;01/07/2018;20:00:00;100;60
North Sea;Summer;01/07/2018;21:00:00;90;60
North Sea;Summer;01/07/2018;22:00:00;90;70
North Sea;Summer;01/07/2018;23:00:00;90;60
North Sea;Autumn;11/10/2019;23:00:00;250;120
North Sea;Autumn;12/10/2019;00:00:00;250;130
North Sea;Autumn;12/10/2019;01:00:00;250;130
North Sea;Autumn;12/10/2019;02:00:00;250;130
North Sea;Autumn;12/10/2019;03:00:00;250;130
North Sea;Autumn;12/10/2019;04:00:00;250;140
North Sea;Autumn;12/10/2019;05:00:00;250;130
North Sea;Autumn;12/10/2019;06:00:00;260;130
North Sea;Autumn;12/10/2019;07:00:00;270;120
North Sea;Autumn;12/10/2019;08:00:00;260;110
North Sea;Autumn;12/10/2019;09:00:00;260;100
North Sea;Autumn;12/10/2019;10:00:00;260;100
North Sea;Autumn;12/10/2019;11:00:00;260;100
North Sea;Autumn;12/10/2019;12:00:00;260;100
North Sea;Autumn;12/10/2019;13:00:00;250;100
North Sea;Autumn;12/10/2019;14:00:00;250;100
North Sea;Autumn;12/10/2019;15:00:00;240;100
North Sea;Autumn;12/10/2019;16:00:00;250;90
North Sea;Autumn;12/10/2019;17:00:00;250;80
North Sea;Autumn;12/10/2019;18:00:00;250;70
North Sea;Autumn;12/10/2019;19:00:00;240;70
North Sea;Autumn;12/10/2019;20:00:00;230;70
North Sea;Autumn;12/10/2019;21:00:00;220;70
North Sea;Autumn;12/10/2019;22:00:00;220;70
North Sea;Autumn;12/10/2019;23:00:00;220;60
North Sea;Autumn;13/10/2019;00:00:00;220;60
North Sea;Autumn;13/10/2019;01:00:00;220;60
North Sea;Autumn;13/10/2019;02:00:00;220;50
North Sea;Autumn;13/10/2019;03:00:00;220;40
North Sea;Autumn;13/10/2019;04:00:00;200;40
North Sea;Autumn;13/10/2019;05:00:00;180;40
North Sea;Autumn;13/10/2019;06:00:00;160;40
North Sea;Autumn;13/10/2019;07:00:00;160;50
North Sea;Autumn;13/10/2019;08:00:00;150;50
North Sea;Autumn;13/10/2019;09:00:00;150;60
North Sea;Autumn;13/10/2019;10:00:00;140;70
North Sea;Autumn;13/10/2019;11:00:00;110;50
North Sea;Autumn;13/10/2019;12:00:00;100;100
North Sea;Autumn;13/10/2019;13:00:00;90;110
North Sea;Autumn;13/10/2019;14:00:00;150;120
North Sea;Autumn;13/10/2019;15:00:00;180;130
North Sea;Autumn;13/10/2019;16:00:00;190;130
North Sea;Autumn;13/10/2019;17:00:00;220;160
North Sea;Autumn;13/10/2019;18:00:00;230;170
North Sea;Autumn;13/10/2019;19:00:00;240;160
North Sea;Autumn;13/10/2019;20:00:00;300;130
North Sea;Autumn;13/10/2019;21:00:00;320;120
North Sea;Autumn;13/10/2019;22:00:00;330;120
North Sea;Autumn;13/10/2019;23:00:00;330;100
North Sea;Autumn;14/10/2019;00:00:00;330;80
North Sea;Autumn;14/10/2019;01:00:00;320;60
North Sea;Autumn;14/10/2019;02:00:00;290;50
